,Gene,Old Human,Old Organoid,Young Human,Young Organoid
26177,TCEAL5,2.307,1.397,0.0,1.084
26178,TCEAL6,0.0,0.0,0.0,2.249
26179,TCEAL7,6.0,4.0,4.0,1.0
26180,TCEAL8,85.0,44.0,100.0,219.0
26181,TCEANC,35.0,16.0,18.0,12.0
26182,TCEANC2,46.0,45.0,27.0,32.0
26183,TCEB1,140.0,188.0,140.0,358.999
26184,TCEB2,526.001,410.0,297.999,445.0
26185,TCEB3,653.0,668.0,792.0,160.0
26186,TCEB3B,0.0,0.0,0.0,1.0
26187,TCEB3C,0.0,0.0,0.0,1.0
26188,TCEB3CL,0.0,0.0,0.0,0.0
26189,TCEB3CL2,0.0,0.0,0.0,1.0
26190,TCERG1,156.0,295.0,93.00099999999998,245.00099999999998
26191,TCERG1L,0.0,0.0,11.0,0.0
26192,TCF12,158.0,215.0,129.0,194.0
26193,TCF15,0.0,4.0,3.0,4.0
26194,TCF19,171.0,397.0,91.0,189.0
26195,TCF20,267.0,248.0,91.0,174.00099999999998
26196,TCF21,7.0,3.0,26.0,1.0
26197,TCF23,0.0,1.0,0.0,0.0
26198,TCF24,0.0,6.0,0.0,1.0
26199,TCF25,729.0,488.0,461.999,125.0
26200,TCF3,196.0,458.999,54.00000000000003,283.0
26201,TCF4,54.0,35.0,123.0,171.99700000000007
26202,TCF7,83.0,32.0,79.999,33.0
26203,TCF7L1,146.0,157.0,70.999,34.0
26204,TCF7L2,245.0,171.99900000000002,180.0,119.99900000000002
26205,TCFL5,97.0,73.00200000000001,33.0,39.0
26206,TCHH,1.0,13.0,18.0,20.0
26207,TCHHL1,0.0,1.0,0.0,0.0
26208,TCHP,119.0,90.0,65.001,39.0
26209,TCIRG1,380.0,590.9989999999998,351.0,132.00800000000004
26210,TCL1A,3.0,0.0,5.0,0.0
26211,TCL1B,0.0,2.0,1.0,0.0
26212,TCL6,0.0,3.0,0.0,3.0
26213,TCN1,1.0,4.0,1.0,9.0
26214,TCN2,65.0,168.0,33.0,52.0
26215,TCOF1,221.0,637.9979999999998,120.99900000000002,228.99800000000005
